name,price,description,category,imageurl
Samsung 40 inch HDTV ,400.99,"All your favorite TV, movies, games and media content come to life in stunning Full HD 1080p with twice the resolution of standard HD TV. ",electronics,http://imgur.com/W8ycE51
Samsung 32 inch HDTV,179.99,"With Samsung Smart Hub on this TV, you can easily navigate to your favorite entertainment. Watch movies, TV shows, sports and news, access social media, play games, plus browse the Web.",electronics,http://imgur.com/W8ycE51
Apple Macbook Pro 12 inches,1599.99,MacBook delivers a full-size experience in the lightest and most compact Mac notebook ever. ,electronics,http://imgur.com/tqk7rOk
Apple MacBook Air 13.3 inches,1049.99,"MacBook Air features up to 8GB of memory, a fifth-generation Intel Core processor, Thunderbolt 2, great built-in apps, and all-day battery life.",electronics,http://imgur.com/8cN2FRo
Apple iPad Pro 12.9 inches,899.99,"Even with its 12.9-inch Retina display, the largest and most capable iPad ever is only 6.9mm thin and weighs just 1.57 pounds. ",electronics,http://imgur.com/w7DHMNP
Apple iPhone 7,650.99,iPhone 7 dramatically improves the most important aspects of the iPhone experience. It introduces advanced new camera systems. The best performance and battery life ever in an iPhone.,electronics,http://imgur.com/3Ol9DzY
,,,,
Frigidaire Side by Side Refrigerator,1299.99,Keep plenty of groceries chilled inside this Frigidaire Gallery refrigerator.,furniture,http://imgur.com/0DHRYJA
Panasonic Stainless Steel Microwave,109.99,Cook or reheat meals with this Panasonic microwave oven. Inverter technology delivers heat consistently throughout food and beverages to minimize hot spots and burn risks.,furniture,http://imgur.com/bh1AGOl
Breville Espresso Maker,599.99,"Need a pick-me up? Make espresso or an espresso-based beverage using this maker, which features a 15-bar Italian pump and 25-shot capacity for reliable performance. ",furniture,http://imgur.com/x1sNl3E
Spalding NBA Super Flite Pro Basektball,39.99,Exclusive PU composite cover. Foam backed design for improved feel and grip ability. Official NBA size and weight. Designed for indoor/outdoor play.,sportingGoods,http://imgur.com/2rPixiS
Adidas Finale Capitano Soccer Ball,20.99,Machine-stitched construction (nylon-wound carcass/TPU) ensures soft touch and high durability,sportingGoods,http://imgur.com/BrbANXA
Wilson Air Attack Junior Size Football,19.99,"You'll be throwing like a pro in no time! Soft, ""Takified"" composite leather cover for excellent grip during gameplay. ",sportingGoods,http://imgur.com/AptdsG0
Easton Mako Baseball Bat,200.99,The proven performer returns with a massive sweet spot and unmatched bat speed to enhance a player's performance at the plate.,sportingGoods,http://imgur.com/7rd49CP
Wilson Baseball Glove,94.99,This glove has the perfect length and pocket for quick transfers. Pops of neon green ensure your defense won't be overlooked.,sportingGoods,http://imgur.com/XfKsUZe
Rawllings Baseball,3.99,Recommended for batting practice/cage use & game play,sportingGoods,http://imgur.com/oe3rzPF
Comfort Dog Harness & Traffic Loop,23.49,"Keep your dog safely attached to the leash with the KONG Adjustable Comfort Harness. The harness features a bright, solid color that is easy to see",petSupplies,http://imgur.com/HEwCcDl
Chew Double Bone Dog Toy,12.49,"Fight boredom and get into action with action ridges & nubs, great for powerful chewers. ",petSupplies,http://imgur.com/CKKlm6k
Breakaway Safe Cat Collar,17.99,"This collar features a safe buckle design that releases your cat when collar becomes caught, and may be personalized as well.",petSupplies,http://imgur.com/X3zcaht
Cat Playpen,159.99, Cat Playpen features swing out doors for easy access and provides plenty of space for a temporary retreat for your Cat. ,petSupplies,http://imgur.com/BVNO6g6
Fish Aquarium Water Changer,44.99,Aquarium Water Changer puts water flow control at your fingertips to let you easily and efficiently change aquarium water and clean gravel.,petSupplies,http://imgur.com/hS4Plte
Willoughby Loveseat,569.95,"Don’t go neutral—go natural. Inspired by nature’s beauty, the Willoughby loveseat is a breath of fresh air. Aqua upholstery livens up your room, and the patterns on the accent pillows add more colors to the mix.",furniture,http://imgur.com/hzSCeX9
Vegas 2-pc. Microfiber Sectional Sofa,1199.9,"Like the city it's named after, this Vegas 2-piece microfiber sectional sofa in red is a centerpiece for fun and luxurious living. You'll love gathering in your living room and relaxing on this sectional sofa's soft microfiber fabric",furniture,http://imgur.com/NMH8gu6
Metro II 44 inch Corner Tv Console,399.95,"This contemporary Metro II 44"" corner TV console with a warming ebony brown finish is designed to fit snugly in a corner so you can save floor space. ",furniture,http://imgur.com/FqB1gB8
Granthom 3-pc. Wall Unit w/72 inch Tv Console,1499.95,"Divide and conquer with the Granthom 3-piece wall unit crafted of solid poplar with birch veneers. The 72"" TV console paired with 2 towers enable you to customize your entertainment space.",furniture,http://imgur.com/WinYXcL
Cadence 7-pc. Dining Set,1499.95,The geometry of sophistication is simple with the Cadence 7-piece dining set—everything squared. Birch veneers in shades of intoxicating merlot create a subtle geometric pattern on the tabletop. ,furniture,http://imgur.com/lRUMS8X
Marcy Standard Bench and 80 lb. Weight Set,179.99,Strengthen and tone all major muscle groups from the comfort of your own home with the Marcy MWB 20101 Bench and 80lb Weight Set. Perfect for beginners this all in one strength training station offers a high density seat that adjusts to four separate positions so you can target upper body muscles from all angles in total comfort.,fitness,http://imgur.com/MAL5xf0
Marcy Combo Storage Rack,89.99,"The Combo Storage Rack includes four Olympic weight storage posts and collars. Manufacturers warranty is 1 year limited partsRubber base caps to protect floors
Dumbbells medicine balls kettlebells and Olympic plates not included",fitness,http://imgur.com/Bgki7iE
Fitbit Charge 2 HR & Fitness Wristband,149.99,"Challenge yourself to make every beat count with the help of the Fitbit Charge 2 HR & Fitness Wristband. This fitness tracker is small but mighty, and includes an easy-to-read OLED screen so you can quickly and easily view steps, heart rate, sleep data and more while on the go. ",fitness,http://imgur.com/6FhO4kU
Weslo Cadence R5.2 Treadmill,449.99,Weslo Cadence R 5.2 Treadmill2.25 HP drive system16 X 50 Walking Belt Comfort cell cushion deck2 position adjustable incline Style Code WLTL29712,fitness,http://imgur.com/EBjHWhV
ProForm 325 CSX Excercise Bike,499.99,"ProForm 325 CSX Exercise BikePFEX5391524 Workout Apps-When you step into the pedals of a ProForm bike, you get instant access to professional training programs fully loaded and ready to go. ",fitness,http://imgur.com/2WJlbXI
